Protocol,Channel,P_Noise,F_Eve,Trial,Metric_Name,Metric,SKR,Alarm,Detection_Outcome,N,n_sift,m,n_key,Q,leak_EC
E91,Ideal_0%,0.0,0.5,111,CHSH_S,2.028615436200385,0.009012126974506846,1,0,8192,1809,904,905,0.10337202874516307,240
E91,Ideal_0%,0.0,0.5,112,CHSH_S,2.1049346589549485,0.014778421932786877,1,0,8192,1850,925,925,0.09945945945945946,260
E91,Ideal_0%,0.0,0.5,113,CHSH_S,2.1748098878445363,0.01743895687680349,0,1,8192,1872,936,936,0.09775641025641026,258
E91,Ideal_0%,0.0,0.5,114,CHSH_S,2.0985044552396674,0.0028128897762334853,1,0,8192,1825,912,913,0.10794520547945205,283
E91,Ideal_0%,0.0,0.5,115,CHSH_S,2.1142672455865643,0.014182736841519277,1,0,8192,1843,922,921,0.09983722192078133,257
E91,Ideal_0%,0.0,0.5,116,CHSH_S,2.039967942274725,0.025889431408088047,1,0,8192,1887,944,943,0.09220985691573927,256
E91,Ideal_0%,0.0,0.5,117,CHSH_S,2.041569719738098,0.013418383327857511,1,0,8192,1834,917,917,0.10032715376226826,262
E91,Ideal_0%,0.0,0.5,118,CHSH_S,2.1431580731399347,0.0004207836768668614,0,1,8192,1832,916,916,0.10971615720524018,273
E91,Ideal_0%,0.0,0.5,119,CHSH_S,2.0722128289610056,0.0001702961765913525,1,0,8192,1838,919,919,0.10990206746463548,253
E91,Ideal_0%,0.0,0.5,120,CHSH_S,2.0996635915292883,0.005908807467316468,1,0,8192,1899,950,949,0.10584518167456557,278
E91,Ideal_0%,0.0,0.5,121,CHSH_S,2.1453144567594147,0.009154917507709585,0,1,8192,1838,919,919,0.10337323177366703,268
E91,Ideal_0%,0.0,0.5,122,CHSH_S,2.1109764463747376,0.023967227997231492,1,0,8192,1737,868,869,0.09211283822682786,226
E91,Ideal_0%,0.0,0.5,123,CHSH_S,2.092092775011039,0.0,1,0,8192,1763,882,881,0.11798071469086784,255
E91,Ideal_0%,0.0,0.5,124,CHSH_S,2.1368722505848607,0.021610532873245228,0,1,8192,1765,882,883,0.09405099150141644,230
E91,Ideal_0%,0.0,0.5,125,CHSH_S,2.0468343487077076,0.0,1,0,8192,1788,894,894,0.11465324384787472,262
E91,Ideal_0%,0.0,0.5,126,CHSH_S,2.094554098143535,0.0,1,0,8192,1875,938,937,0.112,259
E91,Ideal_0%,0.0,0.5,127,CHSH_S,2.0841569179591004,0.005818547996241001,1,0,8192,1907,954,953,0.1059255374934452,282
E91,Ideal_0%,0.0,0.5,128,CHSH_S,2.102868431280713,0.022384997013495958,1,0,8192,1847,924,923,0.09420682187330806,275
E91,Ideal_0%,0.0,0.5,129,CHSH_S,2.0654514202424643,0.011336888221820583,1,0,8192,1864,932,932,0.10193133047210301,264
E91,Ideal_0%,0.0,0.5,130,CHSH_S,2.1878958684890106,0.007336014485743667,0,1,8192,1798,899,899,0.10456062291434928,275
E91,Ideal_0%,0.0,0.5,131,CHSH_S,2.128556412180248,0.009614704914695564,0,1,8192,1798,899,899,0.10289210233592881,233
E91,Ideal_0%,0.0,0.5,132,CHSH_S,2.078771601710892,0.013388645398014836,1,0,8192,1779,890,889,0.10005621135469364,274
E91,Ideal_0%,0.0,0.5,133,CHSH_S,2.0929463216199484,0.023071616438878347,1,0,8192,1800,900,900,0.09333333333333334,277
E91,Ideal_0%,0.0,0.5,134,CHSH_S,2.127613587622443,0.0,0,1,8192,1798,899,899,0.1218020022246941,267
